State,Homeless,Population,Temperature,Income,Location
Alabama,4111,4780131,62.8,44765,2
Alaska,1940,710249,26.6,73355,4
Arizona,9707,6392301,60.3,51492,4
Arkansas,2463,2916025,60.4,41995,2
California,118142,37254522,59.4,64500,4
Colorado,10550,5029324,45.1,63909,3
Connecticut,3902,3574114,49.0,71346,1
Delaware,1070,897936,55.3,61255,1
District of Columbia,8350,601766,55.1,75628,1
Florida,33559,18804592,70.7,49426,1
Georgia,12909,9688680,63.5,51244,1
Hawaii,7921,1360301,70.0,73486,4
Idaho,2247,1567650,44.4,48275,4
Illinois,11590,12831574,51.8,59588,2
Indiana,5798,6484136,51.7,50532,2
Iowa,3064,3046869,47.8,54736,2
Kansas,2255,2853129,54.3,53906,3
Kentucky,4237,4339344,55.6,45215,2
Louisiana,3994,4533479,66.4,45727,2
Maine,2241,1328364,41.0,51494,1
Maryland,7689,5773786,54.2,75847,1
Massachusetts,19608,6547813,47.9,70628,1
Michigan,9316,9884129,44.4,51084,2
Minnesota,7341,5303924,41.2,63488,2
Mississippi,1738,2968103,63.4,40593,2
Missouri,6194,5988928,54.5,50238,2
Montana,1418,989414,42.7,49509,3
Nebraska,2754,1826334,48.8,54996,3
Nevada,7398,2700691,49.9,52431,4
New Hampshire,1366,1316461,43.8,70303,1
New Jersey,8895,8791953,52.7,72222,1
New Mexico,2263,2059198,53.4,45382,3
New York,86352,19378110,45.4,60850,1
North Carolina,9559,9535688,59.0,47830,1
North Dakota,923,672591,40.4,60557,3
Ohio,10404,11536727,50.7,51075,2
Oklahoma,4107,3751615,59.6,48568,3
Oregon,13238,3831072,48.4,54148,4
Pennsylvania,15339,12702857,48.8,55702,1
Rhode Island,1160,1052940,50.1,58073,1
South Carolina,5051,4625410,62.4,47238,1
South Dakota,1072,814195,45.2,53017,3
Tennessee,8779,6346298,57.6,47275,2
Texas,23122,25146100,64.8,55653,3
Utah,2807,2763888,48.6,62912,4
Vermont,1117,625741,42.9,56990,1
Virginia,6268,8001041,55.1,66262,1
Washington,20827,6724545,48.3,64129,4
West Virginia,1387,1853011,51.8,42019,1
Wisconsin,5685,5687289,43.1,55638,2
Wyoming,857,563767,42.0,60214,3
